Palabras clave	Fecha y hora	Origen	Id. del evento	Categoría de la tarea
Auditoría correcta	3/31/2026 11:05:01 AM	Microsoft-Windows-Security-Auditing	4624	Logon	"Se inició sesión correctamente en una cuenta.

Firmante:
	Id. de seguridad:		SYSTEM
	Nombre de cuenta:		DESKTOP-V3RM2P1$
	Dominio de cuenta:		WORKGROUP
	Id. de inicio de sesión:		0x3E7

Información de inicio de sesión:
	Tipo de inicio de sesión:		5
	Modo de administrador restringido:	-
	Cuenta virtual:		No
	Token elevado:		Sí

Nivel de suplantación:		Suplantación

Nuevo inicio de sesión:
	Id. de seguridad:		SYSTEM
	Nombre de cuenta:		SYSTEM
	Dominio de cuenta:		NT AUTHORITY
	Id. de inicio de sesión:		0x3E7
	Inicio de sesión vinculado:		0x0
	Nombre de cuenta de red:	-
	Dominio de cuenta de red:	-
	GUID de inicio de sesión:		{00000000-0000-0000-0000-000000000000}

Información de proceso:
	Id. de proceso:		0x288
	Nombre de proceso:		C:\Windows\System32\services.exe

Información de red:
	Nombre de estación de trabajo:	-
	Dirección de red de origen:	-
	Puerto de origen:		-

Información de autenticación detallada:
	Proceso de inicio de sesión:		Advapi  
	Paquete de autenticación:	Negotiate
	Servicios transitados:	-
	Nombre de paquete (solo NTLM):	-
	Longitud de clave:		0

Este evento se genera cuando se crea una sesión de inicio. Lo genera el equipo al que se tuvo acceso.

Los campos de firmante indican la cuenta del sistema local que solicitó el inicio de sesión. Suele ser un servicio como el servicio de servidor o un proceso local como Winlogon.exe o Services.exe.

El campo Tipo de inicio de sesión indica la clase de inicio de sesión que se realizó. Los tipos más comunes son 2 (interactivo) y 3 (red).

Los campos Nuevo inicio de sesión indican la cuenta para la que se creó el nuevo inicio de sesión, es decir, aquella en la que se inició la sesión.

Los campos de red indican dónde se originó una solicitud de inicio de sesión remota. Nombre de estación de trabajo no está siempre disponible y se puede dejar en blanco en algunos casos.

El campo de nivel de suplantación indica en qué medida un proceso en la sesión de inicio de sesión puede suplantar.

Los campos de información de autenticación proporcionan información detallada sobre esta solicitud de inicio de sesión específica.
	- GUID de inicio de sesión es un identificador único que se puede usar para correlacionar este evento con un evento KDC.
	- Servicios transitados indica los servicios intermedios que participaron en esta solicitud de inicio de sesión.
	- Nombre de paquete indica el subprotocolo que se usó entre los protocolos NTLM.
	- Longitud de clave indica la longitud de la clave de sesión generada. Será 0 si no se solicitó una clave de sesión."
Auditoría correcta	3/31/2026 11:05:01 AM	Microsoft-Windows-Security-Auditing	5382	User Account Management	"Se leyeron las credenciales de bóveda. 

Asunto: 
	Id. de seguridad: 		SYSTEM
	Nombre de la cuenta: 		DESKTOP-V3RM2P1$
	Dominio de la cuenta: 		WORKGROUP
	Id. de inicio de sesión: 		0x3E7

Este evento se produce cuando un usuario lee una credencial almacenada en el almacén."
Auditoría correcta	3/31/2026 11:04:59 AM	Microsoft-Windows-Security-Auditing	4672	Special Logon	"Se asignaron privilegios especiales a un nuevo inicio de sesión.

Sujeto:
	Id. de seguridad:		SYSTEM
	Nombre de cuenta:		SYSTEM
	Dominio de cuenta:		NT AUTHORITY
	Id. de inicio de sesión:		0x3E7

Privilegios:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege"
Auditoría correcta	3/31/2026 11:04:59 AM	Microsoft-Windows-Security-Auditing	4624	Logon	"Se inició sesión correctamente en una cuenta.

Firmante:
	Id. de seguridad:		SYSTEM
	Nombre de cuenta:		DESKTOP-V3RM2P1$
	Dominio de cuenta:		WORKGROUP
	Id. de inicio de sesión:		0x3E7

Información de inicio de sesión:
	Tipo de inicio de sesión:		5
	Modo de administrador restringido:	-
	Cuenta virtual:		No
	Token elevado:		Sí

Nivel de suplantación:		Suplantación

Nuevo inicio de sesión:
	Id. de seguridad:		SYSTEM
	Nombre de cuenta:		SYSTEM
	Dominio de cuenta:		NT AUTHORITY
	Id. de inicio de sesión:		0x3E7
	Inicio de sesión vinculado:		0x0
	Nombre de cuenta de red:	-
	Dominio de cuenta de red:	-
	GUID de inicio de sesión:		{00000000-0000-0000-0000-000000000000}

Información de proceso:
	Id. de proceso:		0x288
	Nombre de proceso:		C:\Windows\System32\services.exe

Información de red:
	Nombre de estación de trabajo:	-
	Dirección de red de origen:	-
	Puerto de origen:		-

Información de autenticación detallada:
	Proceso de inicio de sesión:		Advapi  
	Paquete de autenticación:	Negotiate
	Servicios transitados:	-
	Nombre de paquete (solo NTLM):	-
	Longitud de clave:		0

Este evento se genera cuando se crea una sesión de inicio. Lo genera el equipo al que se tuvo acceso.

Los campos de firmante indican la cuenta del sistema local que solicitó el inicio de sesión. Suele ser un servicio como el servicio de servidor o un proceso local como Winlogon.exe o Services.exe.

El campo Tipo de inicio de sesión indica la clase de inicio de sesión que se realizó. Los tipos más comunes son 2 (interactivo) y 3 (red).

Los campos Nuevo inicio de sesión indican la cuenta para la que se creó el nuevo inicio de sesión, es decir, aquella en la que se inició la sesión.

Los campos de red indican dónde se originó una solicitud de inicio de sesión remota. Nombre de estación de trabajo no está siempre disponible y se puede dejar en blanco en algunos casos.

El campo de nivel de suplantación indica en qué medida un proceso en la sesión de inicio de sesión puede suplantar.

Los campos de información de autenticación proporcionan información detallada sobre esta solicitud de inicio de sesión específica.
	- GUID de inicio de sesión es un identificador único que se puede usar para correlacionar este evento con un evento KDC.
	- Servicios transitados indica los servicios intermedios que participaron en esta solicitud de inicio de sesión.
	- Nombre de paquete indica el subprotocolo que se usó entre los protocolos NTLM.
	- Longitud de clave indica la longitud de la clave de sesión generada. Será 0 si no se solicitó una clave de sesión."
Auditoría correcta	3/31/2026 11:04:59 AM	Microsoft-Windows-Security-Auditing	4798	User Account Management	"Se enumeró la pertenencia a grupos locales de un usuario.

Firmante:
	Id. de seguridad:		SYSTEM
	Nombre de cuenta:		DESKTOP-V3RM2P1$
	Dominio de cuenta:		WORKGROUP
	Id. de inicio de sesión:		0x3E7

Usuario:
	Id. de seguridad:		DESKTOP-V3RM2P1\testuser
	Nombre de cuenta:		testuser
	Dominio de cuenta:		DESKTOP-V3RM2P1

Información de proceso:
	Id. de proceso:		0x3ec
	Nombre de proceso:		C:\Windows\System32\LogonUI.exe"
Auditoría correcta	3/31/2026 11:04:59 AM	Microsoft-Windows-Security-Auditing	4798	User Account Management	"Se enumeró la pertenencia a grupos locales de un usuario.

Firmante:
	Id. de seguridad:		SYSTEM
	Nombre de cuenta:		DESKTOP-V3RM2P1$
	Dominio de cuenta:		WORKGROUP
	Id. de inicio de sesión:		0x3E7

Usuario:
	Id. de seguridad:		DESKTOP-V3RM2P1\Skynet
	Nombre de cuenta:		Skynet
	Dominio de cuenta:		DESKTOP-V3RM2P1

Información de proceso:
	Id. de proceso:		0x3ec
	Nombre de proceso:		C:\Windows\System32\LogonUI.exe"
Auditoría correcta	3/31/2026 11:04:52 AM	Microsoft-Windows-Security-Auditing	5024	Other System Events	El servicio Firewall de Windows se inició correctamente.
Auditoría correcta	3/31/2026 11:04:50 AM	Microsoft-Windows-Security-Auditing	4672	Special Logon	"Se asignaron privilegios especiales a un nuevo inicio de sesión.

Sujeto:
	Id. de seguridad:		SYSTEM
	Nombre de cuenta:		SYSTEM
	Dominio de cuenta:		NT AUTHORITY
	Id. de inicio de sesión:		0x3E7

Privilegios:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege"
Auditoría correcta	3/31/2026 11:04:50 AM	Microsoft-Windows-Security-Auditing	4624	Logon	"Se inició sesión correctamente en una cuenta.

Firmante:
	Id. de seguridad:		SYSTEM
	Nombre de cuenta:		DESKTOP-V3RM2P1$
	Dominio de cuenta:		WORKGROUP
	Id. de inicio de sesión:		0x3E7

Información de inicio de sesión:
	Tipo de inicio de sesión:		5
	Modo de administrador restringido:	-
	Cuenta virtual:		No
	Token elevado:		Sí

Nivel de suplantación:		Suplantación

Nuevo inicio de sesión:
	Id. de seguridad:		SYSTEM
	Nombre de cuenta:		SYSTEM
	Dominio de cuenta:		NT AUTHORITY
	Id. de inicio de sesión:		0x3E7
	Inicio de sesión vinculado:		0x0
	Nombre de cuenta de red:	-
	Dominio de cuenta de red:	-
	GUID de inicio de sesión:		{00000000-0000-0000-0000-000000000000}

Información de proceso:
	Id. de proceso:		0x288
	Nombre de proceso:		C:\Windows\System32\services.exe

Información de red:
	Nombre de estación de trabajo:	-
	Dirección de red de origen:	-
	Puerto de origen:		-

Información de autenticación detallada:
	Proceso de inicio de sesión:		Advapi  
	Paquete de autenticación:	Negotiate
	Servicios transitados:	-
	Nombre de paquete (solo NTLM):	-
	Longitud de clave:		0

Este evento se genera cuando se crea una sesión de inicio. Lo genera el equipo al que se tuvo acceso.

Los campos de firmante indican la cuenta del sistema local que solicitó el inicio de sesión. Suele ser un servicio como el servicio de servidor o un proceso local como Winlogon.exe o Services.exe.

El campo Tipo de inicio de sesión indica la clase de inicio de sesión que se realizó. Los tipos más comunes son 2 (interactivo) y 3 (red).

Los campos Nuevo inicio de sesión indican la cuenta para la que se creó el nuevo inicio de sesión, es decir, aquella en la que se inició la sesión.

Los campos de red indican dónde se originó una solicitud de inicio de sesión remota. Nombre de estación de trabajo no está siempre disponible y se puede dejar en blanco en algunos casos.

El campo de nivel de suplantación indica en qué medida un proceso en la sesión de inicio de sesión puede suplantar.

Los campos de información de autenticación proporcionan información detallada sobre esta solicitud de inicio de sesión específica.
	- GUID de inicio de sesión es un identificador único que se puede usar para correlacionar este evento con un evento KDC.
	- Servicios transitados indica los servicios intermedios que participaron en esta solicitud de inicio de sesión.
	- Nombre de paquete indica el subprotocolo que se usó entre los protocolos NTLM.
	- Longitud de clave indica la longitud de la clave de sesión generada. Será 0 si no se solicitó una clave de sesión."
Auditoría correcta	3/31/2026 11:04:50 AM	Microsoft-Windows-Security-Auditing	4672	Special Logon	"Se asignaron privilegios especiales a un nuevo inicio de sesión.

Sujeto:
	Id. de seguridad:		SYSTEM
	Nombre de cuenta:		SYSTEM
	Dominio de cuenta:		NT AUTHORITY
	Id. de inicio de sesión:		0x3E7

Privilegios:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege"
Auditoría correcta	3/31/2026 11:04:50 AM	Microsoft-Windows-Security-Auditing	4624	Logon	"Se inició sesión correctamente en una cuenta.

Firmante:
	Id. de seguridad:		SYSTEM
	Nombre de cuenta:		DESKTOP-V3RM2P1$
	Dominio de cuenta:		WORKGROUP
	Id. de inicio de sesión:		0x3E7

Información de inicio de sesión:
	Tipo de inicio de sesión:		5
	Modo de administrador restringido:	-
	Cuenta virtual:		No
	Token elevado:		Sí

Nivel de suplantación:		Suplantación

Nuevo inicio de sesión:
	Id. de seguridad:		SYSTEM
	Nombre de cuenta:		SYSTEM
	Dominio de cuenta:		NT AUTHORITY
	Id. de inicio de sesión:		0x3E7
	Inicio de sesión vinculado:		0x0
	Nombre de cuenta de red:	-
	Dominio de cuenta de red:	-
	GUID de inicio de sesión:		{00000000-0000-0000-0000-000000000000}

Información de proceso:
	Id. de proceso:		0x288
	Nombre de proceso:		C:\Windows\System32\services.exe

Información de red:
	Nombre de estación de trabajo:	-
	Dirección de red de origen:	-
	Puerto de origen:		-

Información de autenticación detallada:
	Proceso de inicio de sesión:		Advapi  
	Paquete de autenticación:	Negotiate
	Servicios transitados:	-
	Nombre de paquete (solo NTLM):	-
	Longitud de clave:		0

Este evento se genera cuando se crea una sesión de inicio. Lo genera el equipo al que se tuvo acceso.

Los campos de firmante indican la cuenta del sistema local que solicitó el inicio de sesión. Suele ser un servicio como el servicio de servidor o un proceso local como Winlogon.exe o Services.exe.

El campo Tipo de inicio de sesión indica la clase de inicio de sesión que se realizó. Los tipos más comunes son 2 (interactivo) y 3 (red).

Los campos Nuevo inicio de sesión indican la cuenta para la que se creó el nuevo inicio de sesión, es decir, aquella en la que se inició la sesión.

Los campos de red indican dónde se originó una solicitud de inicio de sesión remota. Nombre de estación de trabajo no está siempre disponible y se puede dejar en blanco en algunos casos.

El campo de nivel de suplantación indica en qué medida un proceso en la sesión de inicio de sesión puede suplantar.

Los campos de información de autenticación proporcionan información detallada sobre esta solicitud de inicio de sesión específica.
	- GUID de inicio de sesión es un identificador único que se puede usar para correlacionar este evento con un evento KDC.
	- Servicios transitados indica los servicios intermedios que participaron en esta solicitud de inicio de sesión.
	- Nombre de paquete indica el subprotocolo que se usó entre los protocolos NTLM.
	- Longitud de clave indica la longitud de la clave de sesión generada. Será 0 si no se solicitó una clave de sesión."
Auditoría correcta	3/31/2026 11:04:50 AM	Microsoft-Windows-Security-Auditing	4799	Security Group Management	"Se enumeró la pertenencia a grupos locales con seguridad habilitada.

Firmante:
	Id. de seguridad:		NETWORK SERVICE
	Nombre de cuenta:		DESKTOP-V3RM2P1$
	Dominio de cuenta:		WORKGROUP
	Id. de inicio de sesión:		0x3E4

Grupo:
	Id. de seguridad:		BUILTIN\Operadores de copia de seguridad
	Nombre de grupo:		Operadores de copia de seguridad
	Dominio de grupo:		Builtin

Información de proceso:
	Id. de proceso:		0xacc
	Nombre de proceso:		C:\Windows\System32\svchost.exe"
Auditoría correcta	3/31/2026 11:04:50 AM	Microsoft-Windows-Security-Auditing	4799	Security Group Management	"Se enumeró la pertenencia a grupos locales con seguridad habilitada.

Firmante:
	Id. de seguridad:		NETWORK SERVICE
	Nombre de cuenta:		DESKTOP-V3RM2P1$
	Dominio de cuenta:		WORKGROUP
	Id. de inicio de sesión:		0x3E4

Grupo:
	Id. de seguridad:		BUILTIN\Administradores
	Nombre de grupo:		Administradores
	Dominio de grupo:		Builtin

Información de proceso:
	Id. de proceso:		0xacc
	Nombre de proceso:		C:\Windows\System32\svchost.exe"
Auditoría correcta	3/31/2026 11:04:50 AM	Microsoft-Windows-Security-Auditing	4672	Special Logon	"Se asignaron privilegios especiales a un nuevo inicio de sesión.

Sujeto:
	Id. de seguridad:		SYSTEM
	Nombre de cuenta:		SYSTEM
	Dominio de cuenta:		NT AUTHORITY
	Id. de inicio de sesión:		0x3E7

Privilegios:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege"
Auditoría correcta	3/31/2026 11:04:50 AM	Microsoft-Windows-Security-Auditing	4624	Logon	"Se inició sesión correctamente en una cuenta.

Firmante:
	Id. de seguridad:		SYSTEM
	Nombre de cuenta:		DESKTOP-V3RM2P1$
	Dominio de cuenta:		WORKGROUP
	Id. de inicio de sesión:		0x3E7

Información de inicio de sesión:
	Tipo de inicio de sesión:		5
	Modo de administrador restringido:	-
	Cuenta virtual:		No
	Token elevado:		Sí

Nivel de suplantación:		Suplantación

Nuevo inicio de sesión:
	Id. de seguridad:		SYSTEM
	Nombre de cuenta:		SYSTEM
	Dominio de cuenta:		NT AUTHORITY
	Id. de inicio de sesión:		0x3E7
	Inicio de sesión vinculado:		0x0
	Nombre de cuenta de red:	-
	Dominio de cuenta de red:	-
	GUID de inicio de sesión:		{00000000-0000-0000-0000-000000000000}

Información de proceso:
	Id. de proceso:		0x288
	Nombre de proceso:		C:\Windows\System32\services.exe

Información de red:
	Nombre de estación de trabajo:	-
	Dirección de red de origen:	-
	Puerto de origen:		-

Información de autenticación detallada:
	Proceso de inicio de sesión:		Advapi  
	Paquete de autenticación:	Negotiate
	Servicios transitados:	-
	Nombre de paquete (solo NTLM):	-
	Longitud de clave:		0

Este evento se genera cuando se crea una sesión de inicio. Lo genera el equipo al que se tuvo acceso.

Los campos de firmante indican la cuenta del sistema local que solicitó el inicio de sesión. Suele ser un servicio como el servicio de servidor o un proceso local como Winlogon.exe o Services.exe.

El campo Tipo de inicio de sesión indica la clase de inicio de sesión que se realizó. Los tipos más comunes son 2 (interactivo) y 3 (red).

Los campos Nuevo inicio de sesión indican la cuenta para la que se creó el nuevo inicio de sesión, es decir, aquella en la que se inició la sesión.

Los campos de red indican dónde se originó una solicitud de inicio de sesión remota. Nombre de estación de trabajo no está siempre disponible y se puede dejar en blanco en algunos casos.

El campo de nivel de suplantación indica en qué medida un proceso en la sesión de inicio de sesión puede suplantar.

Los campos de información de autenticación proporcionan información detallada sobre esta solicitud de inicio de sesión específica.
	- GUID de inicio de sesión es un identificador único que se puede usar para correlacionar este evento con un evento KDC.
	- Servicios transitados indica los servicios intermedios que participaron en esta solicitud de inicio de sesión.
	- Nombre de paquete indica el subprotocolo que se usó entre los protocolos NTLM.
	- Longitud de clave indica la longitud de la clave de sesión generada. Será 0 si no se solicitó una clave de sesión."
